intervention,stem,exp,gpa
1,0,2,2.47
0,0,2,2.48
0,0,2,2.5
1,0,2,2.5
0,0,2,2.51
0,0,2,2.58
1,0,2,2.59
1,0,2,2.61
1,0,2,2.62
1,0,2,2.62
0,0,2,2.63
1,0,2,2.63
0,0,2,2.7
1,0,2,2.71
1,0,2,2.76
1,0,2,2.77
1,0,2,2.87
0,0,2,2.88
0,0,2,2.93
0,0,2,3.04
1,0,2,3.14
1,1,2,1.79
1,1,2,1.89
1,1,2,2.03
0,1,2,2.18
1,1,2,2.2
0,1,2,2.22
0,1,2,2.24
1,1,2,2.32
0,1,2,2.37
1,1,2,2.42
0,1,2,2.42
1,1,2,2.48
0,1,2,2.6
1,1,2,2.6
0,1,2,2.67
1,1,2,2.75
1,1,2,2.76
0,1,2,2.77
1,1,2,2.8
0,1,2,2.84
0,1,2,2.92
1,1,2,3.01
1,1,2,3.04
1,1,2,3.07
1,1,2,3.1
0,1,2,3.11
1,1,2,3.11
1,1,2,3.13
1,1,2,3.17
1,1,2,3.54
1,1,2,3.74
1,1,2,3.76
0,1,2,3.84
0,1,2,4
1,1,2,4
0,0,3,0.86
0,0,3,0.89
1,0,3,1.06
1,0,3,1.23
1,0,3,1.36
0,0,3,1.37
1,0,3,1.39
1,0,3,1.55
1,0,3,1.55
0,0,3,1.6
0,0,3,1.65
0,0,3,1.83
0,0,3,1.84
0,0,3,1.87
1,0,3,1.93
1,0,3,1.94
1,0,3,2.06
0,0,3,2.07
1,0,3,2.1
0,0,3,2.11
1,0,3,2.11
1,0,3,2.15
0,0,3,2.17
0,0,3,2.21
0,0,3,2.22
1,0,3,2.25
0,0,3,2.31
1,0,3,2.34
1,0,3,2.36
0,0,3,2.39
0,0,3,2.48
0,0,3,2.6
1,0,3,2.6
1,0,3,2.72
1,0,3,2.75
1,0,3,2.77
0,0,3,2.95
1,0,3,3.01
0,0,3,3.16
1,0,3,3.26
1,0,3,3.26
0,0,3,3.32
1,0,3,3.62
0,0,3,3.91
0,1,3,1.36
0,1,3,1.49
1,1,3,1.54
0,1,3,1.55
0,1,3,1.63
1,1,3,1.89
0,1,3,2.05
1,1,3,2.08
1,1,3,2.13
1,1,3,2.16
1,1,3,2.22
1,1,3,2.23
0,1,3,2.31
1,1,3,2.37
0,1,3,2.42
0,1,3,2.42
1,1,3,2.46
1,1,3,2.47
1,1,3,2.55
1,1,3,2.55
1,1,3,2.59
0,1,3,2.62
0,1,3,2.67
1,1,3,2.69
0,1,3,2.77
0,1,3,2.8
0,1,3,2.95
0,1,3,3.04
1,1,3,3.07
0,1,3,3.19
1,1,3,3.21
1,1,3,3.25
0,1,3,3.26
1,1,3,3.44
1,1,3,3.59
1,1,3,3.62
1,1,3,3.64
0,1,3,3.65
1,1,3,3.7
0,1,3,3.73
1,1,3,3.91
1,1,3,3.93
0,1,3,4
1,0,4,0.75
0,0,4,1.45
1,0,4,1.45
0,0,4,1.53
0,0,4,1.54
0,0,4,1.65
1,0,4,1.75
1,0,4,1.8
1,0,4,1.83
1,0,4,1.88
0,0,4,1.99
1,0,4,2.01
1,0,4,2.01
0,0,4,2.05
0,0,4,2.1
0,0,4,2.12
0,0,4,2.15
0,0,4,2.15
1,0,4,2.2
0,0,4,2.23
1,0,4,2.28
1,0,4,2.35
1,0,4,2.5
0,0,4,2.61
0,0,4,2.71
0,0,4,2.72
0,0,4,2.73
0,0,4,2.85
1,0,4,2.9
0,0,4,2.92
0,0,4,3
0,0,4,3
0,0,4,3.04
1,0,4,3.05
1,0,4,3.21
0,0,4,3.27
1,0,4,3.41
1,0,4,3.43
0,0,4,3.45
0,0,4,3.49
0,0,4,3.88
1,0,4,3.96
0,0,4,4
0,1,4,0.03
0,1,4,0.69
0,1,4,0.76
1,1,4,1.04
1,1,4,1.05
1,1,4,1.19
0,1,4,1.33
0,1,4,1.59
0,1,4,1.64
1,1,4,1.85
1,1,4,1.98
1,1,4,2.04
0,1,4,2.09
0,1,4,2.21
1,1,4,2.21
1,1,4,2.26
1,1,4,2.34
0,1,4,2.36
0,1,4,2.39
0,1,4,2.42
1,1,4,2.51
0,1,4,2.59
1,1,4,2.66
1,1,4,2.69
0,1,4,2.7
0,1,4,2.72
1,1,4,2.81
0,1,4,2.88
0,1,4,2.88
0,1,4,2.88
0,1,4,2.98
0,1,4,2.99
0,1,4,3.07
1,1,4,3.13
1,1,4,3.29
0,1,4,3.31
1,1,4,3.39
0,1,4,3.51
0,1,4,3.57
1,1,4,3.59
1,1,4,3.62
1,1,4,3.68
0,1,4,3.83
0,1,4,4
1,1,4,4
0,1,4,4
1,1,4,4
0,0,5,1.26
1,0,5,1.27
0,0,5,1.35
1,0,5,1.36
1,0,5,1.43
0,0,5,1.5
1,0,5,1.61
0,0,5,1.61
1,0,5,1.63
0,0,5,1.8
0,0,5,1.92
0,0,5,1.98
1,0,5,2.1
1,0,5,2.18
0,0,5,2.21
0,0,5,2.24
1,0,5,2.27
1,0,5,2.32
0,0,5,2.33
0,0,5,2.49
1,0,5,2.51
0,0,5,2.52
0,0,5,2.53
0,0,5,2.58
1,0,5,2.67
1,0,5,3.02
0,0,5,3.08
1,0,5,3.08
1,0,5,3.1
1,0,5,3.19
0,0,5,3.2
0,0,5,3.25
1,0,5,3.37
0,0,5,3.45
0,0,5,3.56
0,0,5,3.57
1,0,5,3.84
1,0,5,3.87
0,0,5,4
0,0,5,4
0,0,5,4
1,1,5,0.29
0,1,5,1.08
0,1,5,1.48
0,1,5,1.75
0,1,5,1.88
0,1,5,1.89
1,1,5,1.97
1,1,5,1.97
0,1,5,1.99
1,1,5,2.06
0,1,5,2.38
0,1,5,2.41
0,1,5,2.41
1,1,5,2.44
0,1,5,2.51
1,1,5,2.62
1,1,5,2.68
1,1,5,2.83
0,1,5,2.89
1,1,5,2.98
0,1,5,3.05
1,1,5,3.08
1,1,5,3.24
1,1,5,3.51
0,1,5,3.54
0,1,5,3.91
1,1,5,3.98
1,1,5,4
0,1,5,4
0,1,5,4
1,1,5,4
0,1,5,4
0,1,5,4
1,1,5,4
1,1,5,4
0,1,5,4
0,1,5,4
0,1,5,4
